Type,Trans Date,Post Date,Description,Amount
Payment,10/06/2017,1/3/2018,et ultrices posuere cubilia,$-39.18
Payment,10/20/2017,9/28/2017,ut erat id mauris vulputate,$-70.69
Sale,10/24/2017,3/8/2018,blandit lacinia erat vestibulum sed magna,$5.79
Sale,04/28/2017,2/21/2018,vitae consectetuer eget,$-88.08
Payment,10/24/2017,3/18/2018,quis libero nullam sit amet turpis,$0.86
Payment,02/25/2018,10/23/2017,penatibus et magnis dis parturient montes,$58.15
Sale,04/05/2018,7/19/2017,volutpat in congue etiam justo etiam,$-75.84
Payment,12/01/2017,9/26/2017,ut mauris eget massa tempor convallis,$-87.90
Payment,09/08/2017,11/30/2017,neque sapien placerat ante nulla,$-12.30
Payment,04/04/2017,6/28/2017,nec sem duis aliquam convallis,$-96.03
Payment,04/17/2017,4/20/2017,orci vehicula condimentum curabitur in,$48.31
Sale,11/06/2017,5/20/2017,sem duis aliquam,$-64.98
Sale,11/15/2017,9/3/2017,ut suscipit a feugiat et eros,$-99.18
Payment,05/01/2017,7/4/2017,id ligula suspendisse,$2.32
Sale,04/25/2018,8/13/2017,a libero nam dui,$-22.47
Sale,01/09/2018,12/20/2017,mi sit amet,$70.91
Sale,08/06/2017,6/12/2017,bibendum morbi non quam,$-92.28
Payment,03/11/2018,8/30/2017,eget elit sodales scelerisque,$81.26
Sale,05/15/2017,8/7/2017,ligula pellentesque ultrices phasellus,$29.58
Payment,01/08/2018,6/15/2017,id lobortis convallis,$1.40
Sale,04/02/2017,4/2/2017,nec euismod scelerisque quam,$-97.00
Sale,04/02/2017,2/17/2018,ut suscipit a feugiat et eros,$-48.53
Sale,05/17/2017,7/21/2017,ipsum primis in,$57.52
Payment,09/04/2017,8/16/2017,sit amet justo morbi ut odio,$-60.20
Payment,03/26/2018,4/25/2018,scelerisque mauris sit amet eros suspendisse,$20.10
Payment,10/13/2017,7/20/2017,nec euismod scelerisque quam turpis,$75.79
Payment,08/19/2017,4/3/2018,in quis justo maecenas rhoncus aliquam,$51.03
Sale,12/16/2017,4/26/2017,pede venenatis non,$80.92
Payment,07/28/2017,4/14/2017,ut rhoncus aliquet,$-45.92
Payment,04/20/2017,1/14/2018,in blandit ultrices enim lorem,$-63.03
Payment,03/07/2018,4/5/2018,lectus pellentesque at nulla suspendisse,$12.90
Sale,11/19/2017,6/9/2017,eu magna vulputate,$-95.50
Sale,01/08/2018,1/2/2018,duis mattis egestas metus aenean,$93.45
Sale,02/26/2018,1/20/2018,neque sapien placerat ante,$55.05
Sale,11/25/2017,5/3/2017,ipsum aliquam non,$93.88
Payment,04/16/2017,1/5/2018,tincidunt nulla mollis molestie lorem,$-26.53
Payment,10/18/2017,8/15/2017,nisi vulputate nonummy maecenas tincidunt lacus,$-73.37
Payment,09/16/2017,6/6/2017,augue vestibulum rutrum,$15.30
Payment,06/20/2017,4/3/2018,sit amet justo morbi,$-52.65
Sale,04/18/2017,4/21/2018,amet diam in magna bibendum,$66.02
Sale,01/01/2018,2/19/2018,aenean lectus pellentesque,$-79.06
Sale,06/13/2017,4/25/2018,amet eleifend pede libero quis orci,$-94.15
Payment,01/09/2018,3/10/2018,vestibulum rutrum rutrum neque aenean auctor,$2.46
Payment,06/22/2017,10/14/2017,luctus cum sociis,$77.57
Payment,11/16/2017,6/3/2017,accumsan tellus nisi eu,$-53.10
Sale,11/04/2017,5/1/2017,habitasse platea dictumst,$-13.24
Sale,02/06/2018,10/29/2017,pede ullamcorper augue a,$89.42
Payment,11/30/2017,2/11/2018,natoque penatibus et magnis dis,$96.33
Sale,01/05/2018,7/11/2017,praesent lectus vestibulum quam sapien,$28.21
Sale,10/03/2017,11/9/2017,eleifend pede libero quis,$16.18
Sale,06/08/2017,2/9/2018,luctus et ultrices posuere cubilia curae,$89.34
Payment,02/12/2018,4/20/2018,hac habitasse platea,$79.35
Sale,04/24/2017,4/11/2017,varius nulla facilisi cras non velit,$-86.02
Sale,04/10/2017,11/26/2017,fusce posuere felis,$-77.22
Sale,09/12/2017,5/29/2017,vivamus metus arcu,$5.25
Sale,07/05/2017,1/27/2018,donec semper sapien,$-42.47
Payment,12/26/2017,3/22/2018,vitae nisl aenean lectus pellentesque eget,$-48.00
Payment,11/02/2017,4/25/2018,scelerisque quam turpis adipiscing,$-91.26
Payment,06/24/2017,1/20/2018,in imperdiet et commodo vulputate justo,$64.44
Payment,04/19/2018,1/27/2018,vel sem sed sagittis nam,$78.56
Payment,10/14/2017,2/3/2018,tristique est et tempus semper est,$-52.16
Sale,05/06/2017,6/28/2017,in eleifend quam,$-42.02
Payment,10/08/2017,3/29/2018,primis in faucibus,$-33.78
Sale,04/05/2018,4/18/2018,dolor sit amet consectetuer adipiscing,$69.83
